,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER,TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,SEASON_YEAR,Game_Type
59,21900898,2020-03-01T00:00:00,TOR @ DEN,L,240.00000000399996,41,89,0.4606741573033708,10,38,0.2631578947368421,26,29,0.896551724137931,8,28,36,24,11,9,4,1,24,22,118,-75,0,0,70.87575726600001,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
60,21900914,2020-03-03T00:00:00,TOR @ PHX,W,239.999999994,40,86,0.46511627906976744,14,34,0.4117647058823529,29,35,0.8285714285714286,9,38,47,17,15,9,5,6,25,22,123,45,1,0,114.630984047,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
61,21900929,2020-03-05T00:00:00,TOR @ GSW,W,240.00000000999998,40,84,0.47619047619047616,13,41,0.3170731707317073,28,31,0.9032258064516129,3,36,39,28,11,10,3,5,24,23,121,40,2,0,159.76272243199998,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
62,21900956,2020-03-08T00:00:00,TOR @ SAC,W,239.999999983,39,82,0.47560975609756095,19,48,0.3958333333333333,21,27,0.7777777777777778,2,34,36,27,9,10,3,7,22,22,118,25,1,0,98.39185282300001,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
63,21900959,2020-03-09T00:00:00,TOR @ UTA,W,240.00000001300003,36,83,0.43373493975903615,13,36,0.3611111111111111,16,18,0.8888888888888888,14,39,53,22,18,9,2,4,14,20,101,45,2,0,83.293981196,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
64,21901243,2020-08-01T00:00:00,TOR vs. LAL,W,239.99999999999997,35,84,0.4166666666666667,14,34,0.4117647058823529,23,26,0.8846153846153846,7,44,51,24,14,7,5,12,28,25,107,75,2,0,91.66730204000001,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
65,21901250,2020-08-03T00:00:00,TOR @ MIA,W,240.00000000599996,29,67,0.43283582089552236,16,32,0.5,33,36,0.9166666666666666,3,36,39,19,21,6,3,8,19,24,107,20,0,0,82.282774086,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
66,21901266,2020-08-05T00:00:00,TOR @ ORL,W,240.00000000800003,38,78,0.48717948717948717,12,33,0.36363636363636365,21,30,0.7,3,41,44,25,15,6,2,4,21,26,109,50,1,0,424.82884978699997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
67,21901279,2020-08-07T00:00:00,TOR vs. BOS,L,239.99999999399998,38,89,0.42696629213483145,10,38,0.2631578947368421,14,17,0.8235294117647058,9,39,48,20,17,8,7,2,18,22,100,-110,0,0,229.604907689,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
68,21901286,2020-08-09T00:00:00,TOR vs. MEM,W,239.99999999999997,34,71,0.4788732394366197,15,39,0.38461538461538464,25,33,0.7575757575757576,5,35,40,25,25,17,7,3,23,27,108,45,1,0,158.32509846999997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
69,21901294,2020-08-10T00:00:00,TOR @ MIL,W,240.00000002000002,42,97,0.4329896907216495,12,40,0.3,18,26,0.6923076923076923,16,39,55,24,13,11,6,6,27,21,114,40,1,0,157.84761706099997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
70,21901305,2020-08-12T00:00:00,TOR @ PHI,W,239.99999998599998,40,90,0.4444444444444444,18,43,0.4186046511627907,27,40,0.675,11,36,47,28,12,8,7,10,23,29,125,20,0,0,308.99511169,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
71,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,240.00000001,45,90,0.5,18,35,0.5142857142857142,9,14,0.6428571428571429,13,38,51,27,19,8,5,11,24,15,117,40,0,0,184.65309228099997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
